,value
2021-02-02 01:30:31,54
2021-02-02 01:30:41,53
2021-02-02 01:30:51,54
2021-02-02 01:31:06,56
2021-02-02 01:31:11,59
2021-02-02 01:31:16,61
2021-02-02 01:31:21,62
2021-02-02 01:31:26,60
2021-02-02 01:31:31,55
2021-02-02 01:31:36,54
2021-02-02 01:31:51,53
2021-02-02 01:32:06,55
2021-02-02 01:32:11,56
2021-02-02 01:32:16,55
2021-02-02 01:32:21,54
2021-02-02 01:32:26,53
2021-02-02 01:32:36,52
2021-02-02 01:32:51,52
2021-02-02 01:33:01,51
2021-02-02 01:33:16,51
2021-02-02 01:33:31,50
2021-02-02 01:33:36,51
2021-02-02 01:33:51,51
2021-02-02 01:34:01,50
2021-02-02 01:34:16,50
2021-02-02 01:34:21,51
2021-02-02 01:34:36,51
2021-02-02 01:34:41,50
2021-02-02 01:34:56,49
2021-02-02 01:35:06,50
2021-02-02 01:35:16,51
2021-02-02 01:35:21,51
2021-02-02 01:35:31,52
2021-02-02 01:35:36,53
2021-02-02 01:35:46,53
2021-02-02 01:35:51,54
2021-02-02 01:36:01,55
2021-02-02 01:36:16,55
2021-02-02 01:36:21,56
2021-02-02 01:36:31,57
2021-02-02 01:36:36,57
2021-02-02 01:36:41,61
2021-02-02 01:36:51,62
2021-02-02 01:36:56,63
2021-02-02 01:37:06,65
2021-02-02 01:37:21,64
2021-02-02 01:37:36,64
2021-02-02 01:37:41,61
2021-02-02 01:37:51,58
2021-02-02 01:37:56,57
2021-02-02 01:38:01,56
2021-02-02 01:38:11,56
2021-02-02 01:38:26,55
2021-02-02 01:38:41,55
2021-02-02 01:38:56,58
2021-02-02 01:39:01,55
2021-02-02 01:39:06,54
2021-02-02 01:39:11,53
2021-02-02 01:39:20,52
2021-02-02 01:39:35,52
2021-02-02 01:39:50,52
2021-02-02 01:40:00,53
2021-02-02 01:40:15,53
2021-02-02 01:40:20,52
2021-02-02 01:40:35,52
2021-02-02 01:40:45,53
2021-02-02 01:41:00,58
2021-02-02 01:41:05,61
2021-02-02 01:41:10,60
2021-02-02 01:41:15,59
2021-02-02 01:41:20,58
2021-02-02 01:41:25,56
2021-02-02 01:41:30,55
2021-02-02 01:41:35,54
2021-02-02 01:41:50,54
2021-02-02 01:41:55,53
2021-02-02 01:42:05,51
2021-02-02 01:42:10,50
2021-02-02 01:42:25,49
2021-02-02 01:42:40,49
2021-02-02 01:42:55,49
2021-02-02 01:43:00,50
2021-02-02 01:43:15,50
2021-02-02 01:43:30,50
2021-02-02 01:43:35,50
2021-02-02 01:43:40,51
2021-02-02 01:43:55,50
2021-02-02 01:44:00,50
2021-02-02 01:44:05,49
2021-02-02 01:44:20,49
2021-02-02 01:44:30,50
2021-02-02 01:44:45,50
2021-02-02 01:44:50,51
2021-02-02 01:45:00,52
2021-02-02 01:45:10,53
2021-02-02 01:45:15,54
2021-02-02 01:45:20,53
2021-02-02 01:45:35,53
2021-02-02 01:45:45,52
2021-02-02 01:46:00,52
2021-02-02 01:46:15,51
2021-02-02 01:46:30,52
2021-02-02 01:46:35,51
2021-02-02 01:46:40,50
2021-02-02 01:46:55,50
2021-02-02 01:47:00,49
2021-02-02 01:47:15,50
2021-02-02 01:47:30,50
2021-02-02 01:47:45,50
2021-02-02 01:48:00,50
2021-02-02 01:48:05,49
2021-02-02 01:48:10,48
2021-02-02 01:48:15,48
2021-02-02 01:48:30,49
2021-02-02 01:48:35,50
2021-02-02 01:48:50,50
2021-02-02 01:49:05,50
2021-02-02 01:49:15,51
2021-02-02 01:49:25,52
2021-02-02 01:49:40,51
2021-02-02 01:49:55,51
2021-02-02 01:50:00,52
2021-02-02 01:50:10,53
2021-02-02 01:50:15,52
2021-02-02 01:50:20,53
2021-02-02 01:50:25,54
2021-02-02 01:50:35,52
2021-02-02 01:50:40,52
2021-02-02 01:50:55,52
2021-02-02 01:51:00,55
2021-02-02 01:51:05,56
2021-02-02 01:51:10,57
2021-02-02 01:51:15,58
2021-02-02 01:51:20,59
2021-02-02 01:51:25,57
2021-02-02 01:51:30,55
2021-02-02 01:51:35,53
2021-02-02 01:51:40,52
2021-02-02 01:51:45,51
2021-02-02 01:51:50,52
2021-02-02 01:51:55,55
2021-02-02 01:52:10,55
2021-02-02 01:52:15,56
2021-02-02 01:52:20,57
2021-02-02 01:52:25,58
2021-02-02 01:52:30,59
2021-02-02 01:52:35,60
2021-02-02 01:52:40,61
2021-02-02 01:52:55,60
2021-02-02 01:53:00,57
2021-02-02 01:53:10,56
2021-02-02 01:53:15,56
2021-02-02 01:53:30,57
2021-02-02 01:53:35,56
2021-02-02 01:53:40,55
2021-02-02 01:53:45,55
2021-02-02 01:54:00,55
2021-02-02 01:54:10,60
2021-02-02 01:54:15,79
2021-02-02 01:54:30,77
2021-02-02 01:54:35,74
2021-02-02 01:54:40,74
2021-02-02 01:54:45,75
2021-02-02 01:54:55,76
2021-02-02 01:55:00,71
2021-02-02 01:55:05,66
2021-02-02 01:55:10,64
2021-02-02 01:55:15,63
2021-02-02 01:55:25,62
2021-02-02 01:55:30,60
2021-02-02 01:55:40,62
2021-02-02 01:55:55,62
2021-02-02 01:56:00,63
2021-02-02 01:56:05,65
2021-02-02 01:56:10,66
2021-02-02 01:56:15,67
2021-02-02 01:56:20,70
2021-02-02 01:56:25,75
2021-02-02 01:56:30,76
2021-02-02 01:56:35,70
2021-02-02 01:56:40,62
2021-02-02 01:56:45,61
2021-02-02 01:56:50,60
2021-02-02 01:56:55,57
2021-02-02 01:57:00,56
2021-02-02 01:57:05,56
2021-02-02 01:57:10,55
2021-02-02 01:57:15,53
2021-02-02 01:57:30,54
2021-02-02 01:57:35,55
2021-02-02 01:57:40,57
2021-02-02 01:57:45,58
2021-02-02 01:57:50,59
2021-02-02 01:58:00,56
2021-02-02 01:58:05,55
2021-02-02 01:58:10,54
2021-02-02 01:58:15,52
2021-02-02 01:58:30,52
2021-02-02 01:58:35,51
2021-02-02 01:58:45,52
2021-02-02 01:58:50,52
2021-02-02 01:58:55,53
2021-02-02 01:59:00,54
2021-02-02 01:59:15,52
2021-02-02 01:59:25,53
2021-02-02 01:59:30,55
2021-02-02 01:59:35,57
2021-02-02 01:59:40,58
2021-02-02 01:59:45,57
2021-02-02 01:59:50,59
2021-02-02 01:59:55,61
2021-02-02 02:00:00,64
2021-02-02 02:00:05,61
2021-02-02 02:00:10,59
2021-02-02 02:00:15,57
2021-02-02 02:00:20,57
2021-02-02 02:00:25,58
2021-02-02 02:00:30,60
2021-02-02 02:00:35,58
2021-02-02 02:00:40,56
2021-02-02 02:00:45,56
2021-02-02 02:00:50,55
2021-02-02 02:00:55,54
2021-02-02 02:01:00,52
2021-02-02 02:01:05,51
2021-02-02 02:01:20,50
2021-02-02 02:01:25,49
2021-02-02 02:01:35,50
2021-02-02 02:01:40,51
2021-02-02 02:01:55,52
2021-02-02 02:02:10,52
2021-02-02 02:02:25,52
2021-02-02 02:02:30,52
2021-02-02 02:02:45,53
2021-02-02 02:02:55,52
2021-02-02 02:03:05,53
2021-02-02 02:03:10,54
2021-02-02 02:03:15,55
2021-02-02 02:03:20,56
2021-02-02 02:03:30,60
2021-02-02 02:03:35,61
2021-02-02 02:03:40,60
2021-02-02 02:03:45,59
2021-02-02 02:03:50,57
2021-02-02 02:03:55,55
2021-02-02 02:04:00,57
2021-02-02 02:04:05,56
2021-02-02 02:04:10,54
2021-02-02 02:04:15,55
2021-02-02 02:04:30,55
2021-02-02 02:04:35,56
2021-02-02 02:04:40,55
2021-02-02 02:04:45,54
2021-02-02 02:04:50,56
2021-02-02 02:04:55,55
2021-02-02 02:05:00,54
2021-02-02 02:05:05,53
2021-02-02 02:05:20,53
2021-02-02 02:05:35,54
2021-02-02 02:05:50,54
2021-02-02 02:05:55,52
2021-02-02 02:06:10,52
2021-02-02 02:06:20,51
2021-02-02 02:06:35,51
2021-02-02 02:06:40,52
2021-02-02 02:06:45,52
2021-02-02 02:06:55,54
2021-02-02 02:07:00,57
2021-02-02 02:07:10,56
2021-02-02 02:07:20,55
2021-02-02 02:07:25,53
2021-02-02 02:07:35,54
2021-02-02 02:07:50,55
2021-02-02 02:07:55,56
2021-02-02 02:08:00,57
2021-02-02 02:08:05,59
2021-02-02 02:08:10,60
2021-02-02 02:08:15,63
2021-02-02 02:08:20,65
2021-02-02 02:08:25,66
2021-02-02 02:08:30,68
2021-02-02 02:08:35,69
2021-02-02 02:08:40,75
2021-02-02 02:08:45,78
2021-02-02 02:08:50,79
2021-02-02 02:09:05,79
2021-02-02 02:09:10,80
2021-02-02 02:09:15,81
2021-02-02 02:09:20,82
2021-02-02 02:09:25,81
2021-02-02 02:09:35,82
2021-02-02 02:09:40,87
2021-02-02 02:09:45,90
2021-02-02 02:09:50,91
2021-02-02 02:09:55,98
2021-02-02 02:10:00,100
2021-02-02 02:10:10,97
2021-02-02 02:10:15,94
2021-02-02 02:10:20,90
2021-02-02 02:10:25,90
2021-02-02 02:10:35,91
2021-02-02 02:10:40,81
2021-02-02 02:10:45,60
2021-02-02 02:10:50,59
2021-02-02 02:11:00,60
2021-02-02 02:11:05,62
2021-02-02 02:11:10,75
2021-02-02 02:11:15,69
2021-02-02 02:11:20,62
2021-02-02 02:11:25,59
2021-02-02 02:11:30,58
2021-02-02 02:11:40,59
2021-02-02 02:11:50,60
2021-02-02 02:11:55,60
2021-02-02 02:12:05,61
2021-02-02 02:12:10,62
2021-02-02 02:12:15,64
2021-02-02 02:12:20,65
2021-02-02 02:12:25,67
2021-02-02 02:12:30,68
2021-02-02 02:12:35,74
2021-02-02 02:12:40,75
2021-02-02 02:12:50,76
2021-02-02 02:12:55,68
2021-02-02 02:13:00,62
2021-02-02 02:13:05,59
2021-02-02 02:13:10,58
2021-02-02 02:13:15,58
2021-02-02 02:13:20,59
2021-02-02 02:13:30,60
2021-02-02 02:13:35,61
2021-02-02 02:13:40,63
2021-02-02 02:13:45,65
2021-02-02 02:13:50,67
2021-02-02 02:13:55,71
2021-02-02 02:14:00,66
2021-02-02 02:14:15,67
2021-02-02 02:14:20,66
2021-02-02 02:14:25,64
2021-02-02 02:14:30,60
2021-02-02 02:14:35,58
2021-02-02 02:14:40,58
2021-02-02 02:14:50,59
2021-02-02 02:14:55,61
2021-02-02 02:15:05,61
2021-02-02 02:15:10,62
2021-02-02 02:15:15,66
2021-02-02 02:15:20,81
2021-02-02 02:15:25,83
2021-02-02 02:15:35,82
2021-02-02 02:15:40,81
2021-02-02 02:15:45,71
2021-02-02 02:15:50,65
2021-02-02 02:16:05,62
2021-02-02 02:16:20,62
2021-02-02 02:16:30,60
2021-02-02 02:16:35,59
2021-02-02 02:16:40,58
2021-02-02 02:16:55,59
2021-02-02 02:17:00,59
2021-02-02 02:17:05,61
2021-02-02 02:17:10,62
2021-02-02 02:17:20,63
2021-02-02 02:17:25,62
2021-02-02 02:17:40,63
2021-02-02 02:17:55,65
2021-02-02 02:18:00,66
2021-02-02 02:18:05,65
2021-02-02 02:18:10,63
2021-02-02 02:18:20,62
2021-02-02 02:18:25,61
2021-02-02 02:18:30,59
2021-02-02 02:18:35,57
2021-02-02 02:18:40,56
2021-02-02 02:18:55,58
2021-02-02 02:19:05,57
2021-02-02 02:19:10,56
2021-02-02 02:19:25,56
2021-02-02 02:19:40,56
2021-02-02 02:19:50,57
2021-02-02 02:19:55,56
2021-02-02 02:20:10,57
2021-02-02 02:20:20,57
2021-02-02 02:20:25,58
2021-02-02 02:20:35,57
2021-02-02 02:20:45,54
2021-02-02 02:20:50,53
2021-02-02 02:21:00,53
2021-02-02 02:21:10,52
2021-02-02 02:21:15,54
2021-02-02 02:21:20,55
2021-02-02 02:21:30,56
2021-02-02 02:21:40,57
2021-02-02 02:21:45,58
2021-02-02 02:21:50,60
2021-02-02 02:21:55,61
2021-02-02 02:22:00,67
2021-02-02 02:22:05,65
2021-02-02 02:22:10,59
2021-02-02 02:22:15,58
2021-02-02 02:22:20,58
2021-02-02 02:22:25,58
2021-02-02 02:22:35,57
2021-02-02 02:22:45,56
2021-02-02 02:22:50,56
2021-02-02 02:23:05,56
2021-02-02 02:23:10,59
2021-02-02 02:23:15,76
2021-02-02 02:23:20,78
2021-02-02 02:23:25,77
2021-02-02 02:23:30,76
2021-02-02 02:23:35,75
2021-02-02 02:23:45,71
2021-02-02 02:23:50,70
2021-02-02 02:24:05,67
2021-02-02 02:24:10,65
2021-02-02 02:24:15,61
2021-02-02 02:24:20,60
2021-02-02 02:24:25,58
2021-02-02 02:24:30,58
2021-02-02 02:24:35,57
2021-02-02 02:24:40,56
