,value
2021-02-02 01:31:42,53
2021-02-02 01:31:47,51
2021-02-02 01:31:52,50
2021-02-02 01:31:57,51
2021-02-02 01:32:02,50
2021-02-02 01:32:17,49
2021-02-02 01:32:32,50
2021-02-02 01:32:37,52
2021-02-02 01:32:42,53
2021-02-02 01:32:57,52
2021-02-02 01:33:02,51
2021-02-02 01:33:17,50
2021-02-02 01:33:27,51
2021-02-02 01:33:32,52
2021-02-02 01:33:42,51
2021-02-02 01:33:47,50
2021-02-02 01:33:52,50
2021-02-02 01:34:02,51
2021-02-02 01:34:07,52
2021-02-02 01:34:12,51
2021-02-02 01:34:22,52
2021-02-02 01:34:32,51
2021-02-02 01:34:37,50
2021-02-02 01:34:47,51
2021-02-02 01:34:57,52
2021-02-02 01:35:07,51
2021-02-02 01:35:12,50
2021-02-02 01:35:22,51
2021-02-02 01:35:27,52
2021-02-02 01:35:37,50
2021-02-02 01:35:47,51
2021-02-02 01:35:57,50
2021-02-02 01:36:02,51
2021-02-02 01:36:12,52
2021-02-02 01:36:17,53
2021-02-02 01:36:22,52
2021-02-02 01:36:27,51
2021-02-02 01:36:42,51
2021-02-02 01:36:57,51
2021-02-02 01:37:12,51
2021-02-02 01:37:22,52
2021-02-02 01:37:27,51
2021-02-02 01:37:32,49
2021-02-02 01:37:37,49
2021-02-02 01:37:47,50
2021-02-02 01:37:52,51
2021-02-02 01:38:07,51
2021-02-02 01:38:22,51
2021-02-02 01:38:37,49
2021-02-02 01:38:47,50
2021-02-02 01:38:57,51
2021-02-02 01:39:02,52
2021-02-02 01:39:07,51
2021-02-02 01:39:12,50
2021-02-02 01:39:17,49
2021-02-02 01:39:22,50
2021-02-02 01:39:37,50
2021-02-02 01:39:42,51
2021-02-02 01:39:47,52
2021-02-02 01:40:02,52
2021-02-02 01:40:17,52
2021-02-02 01:40:32,52
2021-02-02 01:40:47,51
2021-02-02 01:40:52,50
2021-02-02 01:40:57,49
2021-02-02 01:41:07,50
2021-02-02 01:41:12,51
2021-02-02 01:41:27,50
2021-02-02 01:41:32,48
2021-02-02 01:41:42,49
2021-02-02 01:41:47,50
2021-02-02 01:41:52,51
2021-02-02 01:41:57,52
2021-02-02 01:42:02,51
2021-02-02 01:42:17,51
2021-02-02 01:42:22,52
2021-02-02 01:42:27,51
2021-02-02 01:42:32,50
2021-02-02 01:42:47,50
2021-02-02 01:42:52,52
2021-02-02 01:43:02,51
2021-02-02 01:43:12,52
2021-02-02 01:43:17,51
2021-02-02 01:43:32,51
2021-02-02 01:43:37,52
2021-02-02 01:43:52,52
2021-02-02 01:43:57,53
2021-02-02 01:44:02,52
2021-02-02 01:44:07,50
2021-02-02 01:44:22,51
2021-02-02 01:44:37,51
2021-02-02 01:44:42,52
2021-02-02 01:44:47,51
2021-02-02 01:45:02,52
2021-02-02 01:45:12,53
2021-02-02 01:45:27,52
2021-02-02 01:45:42,52
2021-02-02 01:45:47,52
2021-02-02 01:45:57,51
2021-02-02 01:46:02,49
2021-02-02 01:46:12,50
2021-02-02 01:46:27,51
2021-02-02 01:46:42,52
2021-02-02 01:46:47,53
2021-02-02 01:46:52,51
2021-02-02 01:46:57,50
2021-02-02 01:47:07,51
2021-02-02 01:47:12,50
2021-02-02 01:47:17,49
2021-02-02 01:47:32,50
2021-02-02 01:47:37,51
2021-02-02 01:47:52,51
2021-02-02 01:48:02,51
2021-02-02 01:48:07,50
2021-02-02 01:48:22,50
2021-02-02 01:48:27,52
2021-02-02 01:48:42,52
2021-02-02 01:48:47,51
2021-02-02 01:48:52,50
2021-02-02 01:49:07,50
2021-02-02 01:49:12,51
2021-02-02 01:49:27,51
2021-02-02 01:49:29,52
2021-02-02 01:49:44,51
2021-02-02 01:49:59,51
2021-02-02 01:50:04,52
2021-02-02 01:50:19,52
2021-02-02 01:50:24,51
2021-02-02 01:50:29,50
2021-02-02 01:50:39,51
2021-02-02 01:50:44,52
2021-02-02 01:50:49,51
2021-02-02 01:50:54,52
2021-02-02 01:51:09,52
2021-02-02 01:51:14,51
2021-02-02 01:51:29,51
2021-02-02 01:51:34,52
2021-02-02 01:51:44,53
2021-02-02 01:51:49,52
2021-02-02 01:51:54,51
2021-02-02 01:51:59,50
2021-02-02 01:52:09,51
2021-02-02 01:52:24,51
2021-02-02 01:52:34,52
2021-02-02 01:52:49,50
2021-02-02 01:53:04,51
2021-02-02 01:53:09,52
2021-02-02 01:53:18,51
2021-02-02 01:53:28,52
2021-02-02 01:53:38,53
2021-02-02 01:53:43,52
2021-02-02 01:53:48,50
2021-02-02 01:53:58,52
2021-02-02 01:54:03,53
2021-02-02 01:54:13,52
2021-02-02 01:54:18,51
2021-02-02 01:54:33,51
2021-02-02 01:54:48,52
2021-02-02 01:55:03,53
2021-02-02 01:55:18,51
2021-02-02 01:55:23,50
2021-02-02 01:55:33,51
2021-02-02 01:55:43,50
