,value
2021-02-02 04:17:03,52
2021-02-02 04:17:13,53
2021-02-02 04:17:18,55
2021-02-02 04:17:23,54
2021-02-02 04:17:28,52
2021-02-02 04:17:33,51
2021-02-02 04:17:38,50
2021-02-02 04:17:53,53
2021-02-02 04:17:58,52
2021-02-02 04:18:13,52
2021-02-02 04:18:18,51
2021-02-02 04:18:23,50
2021-02-02 04:18:28,51
2021-02-02 04:18:38,53
2021-02-02 04:18:43,52
2021-02-02 04:18:53,51
2021-02-02 04:19:08,51
2021-02-02 04:19:23,51
2021-02-02 04:19:38,51
2021-02-02 04:19:53,51
2021-02-02 04:19:58,50
2021-02-02 04:20:03,48
2021-02-02 04:20:08,47
2021-02-02 04:20:13,48
2021-02-02 04:20:28,48
2021-02-02 04:20:33,49
2021-02-02 04:20:38,50
2021-02-02 04:20:48,51
2021-02-02 04:20:58,50
2021-02-02 04:21:13,51
2021-02-02 04:21:23,50
2021-02-02 04:21:28,50
2021-02-02 04:21:43,49
2021-02-02 04:21:58,49
2021-02-02 04:22:13,49
2021-02-02 04:22:28,49
2021-02-02 04:22:38,50
2021-02-02 04:22:53,50
2021-02-02 04:23:03,49
2021-02-02 04:23:13,48
2021-02-02 04:23:28,48
2021-02-02 04:23:33,49
2021-02-02 04:23:43,50
2021-02-02 04:23:48,53
2021-02-02 04:23:53,51
2021-02-02 04:23:58,49
2021-02-02 04:24:13,48
2021-02-02 04:24:18,49
2021-02-02 04:24:23,50
2021-02-02 04:24:38,50
2021-02-02 04:24:43,49
2021-02-02 04:24:48,47
2021-02-02 04:25:03,48
2021-02-02 04:25:08,49
2021-02-02 04:25:23,49
2021-02-02 04:25:38,49
2021-02-02 04:25:43,50
2021-02-02 04:25:48,49
2021-02-02 04:25:53,49
2021-02-02 04:25:58,50
2021-02-02 04:26:13,50
2021-02-02 04:26:18,49
2021-02-02 04:26:33,50
2021-02-02 04:26:38,49
2021-02-02 04:26:53,49
2021-02-02 04:27:03,50
2021-02-02 04:27:13,51
2021-02-02 04:27:28,50
2021-02-02 04:27:38,49
2021-02-02 04:27:43,48
2021-02-02 04:27:58,48
2021-02-02 04:28:13,49
2021-02-02 04:28:18,50
2021-02-02 04:28:23,49
2021-02-02 04:28:28,48
2021-02-02 04:28:43,48
2021-02-02 04:28:48,49
2021-02-02 04:28:58,50
2021-02-02 04:29:03,48
2021-02-02 04:29:18,49
2021-02-02 04:29:33,50
2021-02-02 04:29:48,50
2021-02-02 04:29:53,49
2021-02-02 04:29:58,50
2021-02-02 04:30:08,49
2021-02-02 04:30:13,49
2021-02-02 04:30:28,49
2021-02-02 04:30:43,49
2021-02-02 04:30:53,50
2021-02-02 04:31:08,50
2021-02-02 04:31:13,49
2021-02-02 04:31:23,48
2021-02-02 04:31:38,49
2021-02-02 04:31:43,50
2021-02-02 04:31:48,51
2021-02-02 04:31:53,50
2021-02-02 04:32:08,50
2021-02-02 04:32:23,49
2021-02-02 04:32:38,49
2021-02-02 04:32:53,49
2021-02-02 04:33:08,48
2021-02-02 04:33:13,47
2021-02-02 04:33:28,48
2021-02-02 04:33:33,49
2021-02-02 04:33:48,49
2021-02-02 04:33:58,48
2021-02-02 04:34:13,49
2021-02-02 04:34:28,51
2021-02-02 04:34:33,55
2021-02-02 04:34:43,53
2021-02-02 04:34:48,51
2021-02-02 04:34:53,50
2021-02-02 04:34:58,49
2021-02-02 04:35:13,49
2021-02-02 04:35:28,49
2021-02-02 04:35:43,49
2021-02-02 04:35:58,49
2021-02-02 04:36:03,50
2021-02-02 04:36:08,48
2021-02-02 04:36:13,47
2021-02-02 04:36:28,47
2021-02-02 04:36:43,47
2021-02-02 04:36:58,48
2021-02-02 04:37:03,49
2021-02-02 04:37:18,49
2021-02-02 04:37:23,50
2021-02-02 04:37:38,50
2021-02-02 04:37:43,49
2021-02-02 04:37:48,48
2021-02-02 04:38:03,48
2021-02-02 04:38:08,49
2021-02-02 04:38:23,49
2021-02-02 04:38:33,48
2021-02-02 04:38:48,48
